,top_topic
0,भवन  सीता  राक्षस  सुन्दर  भया  रावण  वानर  सक्ती  मा  स्त्री
1,हनुमान  युक्त  सब  सीता  रावण  मन  उत्साह  वानर  सुन्दर  सोच
2,राम  सीता  वानर  नदी  लोक  राज्य  जोकि  तीन  शोभा  शुभ
3,रावण  सीता  भूषण  राम  सुन्दर  चन्द्र  मान  निर्मल  शाखा  दीन
4,पा  सीता  वचन  योग्य  जान  रूप  सुन  तुझा  छोड  तुल्य
5,तुझा  रावण  चाह  सीता  कह  राम  क्रोध  वचन  राक्षसी  योग्य
6,सीता  राक्षसी  पा  कह  शोक  हा  जीवन  पकड  मन  पन
7,राम  सीता  जान  रक्षा  मार  रावण  भाई  चल  प्यारा  शूरवीर
8,सीता  राम  सुन  भई  कह  वचन  हनुमान  कुशल  रावण  वानर
9,राम  सीता  वचन  वानर  कह  सुन  रावण  मार  बोली  राक्षस
10,कार्य  हनुमान  युद्ध  खडा  राक्षस  रावण  नेत्र  पास  सीता  राम
11,राक्षस  हनुमान  रावण  मार  वानर  राक्षसेंद्र  युद्ध  सेना  मर  टूट
12,हनुमान  वानर  वध  अहो  पूंछ  दूत  राक्षस  आग  जान  युक्त
13,वानर  राक्षस  मार  हनुमान  चोटी  सब  वानरश्रेष्ठ  तुल्य  बह  बडा
14,राम  सीता  कह  रावण  सब  महीना  सुग्रीव  वानर  दर्शन  हनुमान
15,समुद्र  पार  राम  सीता  हनुमान  तु  मन  सुन  मम  बोल
16,शोक  दिशम्  समुद्र  सब  ततः  श्रुत्वा  सागर  दक्षिणां  एव  रामो
17,राम  समुद्र  भर  सागर  आकाश  सेना  सुग्रीव  पहुंच  वचन  वानर
18,रावण  सीता  विभीषण  वचन  कह  मार  सेना  मन्त्री  सब  हित
19,सभा  बोल  रावण  काम  विचार  जान  सेना  आरम्भ  सोच  पीछे
20,विभीषण  सुन  बोल  राम  कह  वाक्य  शत्रु  बडा  सीता  तुल्य
21,कह  वाक्य  विभीषण  रावण  भाई  राक्षस  हि  कठोर  वचन  मया
22,वाक्य  भाई  विभीषण  बोल  राम  वा  सुन  शृणु  जल्दी  त्याग
23,कह  सब  राम  विभीषण  सुन  वचन  लोग  रावण  शुद्ध  राक्षस
24,राम  समुद्र  रावण  सेना  सेतु  वानर  पर्वत  युद्ध  सुन  बडा
25,सेना  सारण  कह  राम  वानर  राक्षस  गुप्तचर  बोल  शुक  विभीषण
