,sentence,word,ner
2,0, सुन्दर ,B-PERSON
3,0, 'सब ,B-LOCATION
4,0, ओर ,B-PERSON
8,0, श्वेत ,B-PERSON
9,0, मेघ ,B-PERSON
12,0, राक्षसों ,B-PERSON
24,0, जगमन. ,B-PERSON
28,0, राधा ,B-PERSON
32,0, श्रीमान् ,B-PERSON
34,0, हुमा ,B-PERSON
46,0, राक्षसों ,B-PERSON
47,0, के ,B-PERSON
51,0, अप ,B-PERSON
54,0, के ,B-PERSON
56,0, मुने ,B-PERSON
57,0, और ,B-PERSON
58,0, स्वाध्याय ,B-PERSON
60,0, रत ,B-PERSON
61,0, राक्षसों ,B-PERSON
65,0, वह ,B-PERSON
66,0, उस ,B-LOCATION
67,0, सुन्दर ,B-PERSON
69,0, माला ,I-LOCATION
70,0, की ,I-LOCATION
72,0, मस्थित ,B-PERSON
74,0, जो ,B-PERSON
75,0, उत्तम ,B-LOCATION
76,0, स्त्री ,B-PERSON
77,0, की ,B-PERSON
78,0, तरह ,B-LOCATION
79,0, रावण ,B-PERSON
80,0, की ,B-PERSON
81,0, बड़ी ,B-LOCATION
82,0, पारी ,B-PERSON
89,0, श्रीद ,B-PERSON
91,0, हुए ,B-PERSON
92,0, पलङ्ग ,B-LOCATION
93,0, -. ,B-PERSON
95,0, लेटे ,B-PERSON
96,0, हुए ,B-PERSON
97,0, राक्षसाधिपति ,B-PERSON
98,0, को ,B-PERSON
99,0, उस ,B-PERSON
100,0, महारानर ,B-PERSON
101,0, ने ,B-PERSON
103,0, जो ,B-PERSON
104,0, अपनी ,B-PERSON
105,0, शोभा ,B-PERSON
108,0, उस ,B-PERSON
110,0, भवन ,I-LOCATION
115,0, बद्द ,B-PERSON
116,0, मन्दोदरी ,B-PERSON
117,0," थी, ",B-LOCATION
118,0, जोकि ,B-PERSON
119,0, सुन्दर ,B-PERSON
120,0, रूपवती ,B-PERSON
130,1, रावण ,B-PERSON
132,1, पारा ,B-PERSON
133,1, अन्तःपुर ,B-LOCATION
137,1, जानकी ,B-PERSON
140,1, ) ,B-PERSON
141,1, सीता ,B-PERSON
143,1, न ,B-PERSON
145,1, से ,B-PERSON
146,1, हनुमान ,B-PERSON
147,1, की ,B-PERSON
148,1, उदासी ,B-PERSON
149,1, सब ,B-PERSON
150,1, बद ,B-PERSON
151,1, महावानर ,B-PERSON
152,1, राम ,B-PERSON
153,1, की ,B-PERSON
154,1, इस ,B-PERSON
155,1, प्यारी ,B-PERSON
162,1, निमन्देह ,B-PERSON
163,1, मैथिली ,B-LOCATION
164,1, सीता ,B-PERSON
184,1, मावानर ,B-PERSON
186,1, अवकाश ,B-PERSON
188,1, फिस!! ,B-PERSON
189,1, ८. ,B-PERSON
190,1, संगर ,B-PERSON
193,1, हनुमान ,B-PERSON
194,1, के ,B-PERSON
207,1, महा ,B-PERSON
208,1, तेजस्वी ,B-PERSON
210,1, मन्दिर ,I-LOCATION
211,1, के ,I-LOCATION
212,1, कोट ,I-LOCATION
217,1, वानर ,B-PERSON
222,1," मणिभूमिप, ",B-PERSON
223,1, चान्दी ,B-LOCATION
233,2, उस ,B-PERSON
234,2, वानर ,B-PERSON
241,2, पर्वत ,I-LOCATION
251,2, विचित्रकूट ,B-LOCATION
252,2, नामी ,B-PERSON
253,2, था ,B-LOCATION
254,2, वड़ ,B-PERSON
255,2, महादानर ,B-PERSON
267,2, मैं ,B-PERSON
268,2, राम ,B-LOCATION
269,2, के ,B-PERSON
274,2, वैदेही ,B-PERSON
275,2, को ,B-LOCATION
276,2, देखूगा ,B-PERSON
278,2, नद ,I-LOCATION
279,2, नदियों ,I-LOCATION
280,2, का ,I-LOCATION
281,2, पति ,B-PERSON
282,2, श्रीमान ,B-PERSON
283,2, सागर ,B-LOCATION
284,2, मैंने ,B-PERSON
285,2, लेघा ,B-LOCATION
286,2," है, ",B-PERSON
287,2, इस ,B-LOCATION
288,2, विशालनत्रा ,B-PERSON
292,2, यह ,B-PERSON
293,2, सारी ,B-LOCATION
294,2, पुरी ,B-PERSON
299,2, सुवर्ण ,B-PERSON
300,2, तुल्य ,B-LOCATION
301,2," रङ्गवाली, ",B-PERSON
321,2, स्त्री ,B-PERSON
323,2, भूषण ,B-PERSON
346,3, मङ्गक ,B-PERSON
347,3, बाओं ,B-PERSON
349,3, कानों ,B-PERSON
351,3, प्यारे ,B-PERSON
354,3, महाबाहु ,B-PERSON
355,3, महाबड़ी ,B-LOCATION
356,3, रावण ,B-PERSON
357,3, जागा ,B-LOCATION
358,3, पहाने ,B-PERSON
359,3, जम्बी ,B-PERSON
360,3, महावानर ,B-PERSON
361,3, ने ,B-PERSON
362,3, उस ,B-PERSON
363,3, बेजात्री ,B-PERSON
364,3, को ,B-PERSON
366,3, तब ,B-PERSON
367,3, वह ,B-PERSON
368,3, बुद्धिमान् ,B-PERSON
369,3, वानर ,B-PERSON
370,3," "" ",B-PERSON
371,3, यह ,B-LOCATION
372,3, महावाहु ,B-PERSON
373,3, रावण ,B-PERSON
375,3, ऐसा ,B-PERSON
380,3, पत्नों ,B-PERSON
382,3, छिय ,B-PERSON
384,3, ।। ,B-PERSON
388,3, २०) ,B-PERSON
389,3, रावण ,B-PERSON
390,3, को ,B-PERSON
391,3, देखकर ,B-PERSON
392,3, सीता ,B-PERSON
393,3, का ,B-PERSON
394,3, मय ,B-PERSON
395,3, मौर ,B-PERSON
396,3, रावण ,B-PERSON
397,3, का ,B-PERSON
398,3, प्रेम ,B-PERSON
400,3, तब ,B-PERSON
401,3, राक्षसाधिपति ,B-PERSON
402,3, रावण ,B-PERSON
403,3, को ,B-PERSON
404,3, देखते ,B-PERSON
405,3, ही ,B-PERSON
406,3, वरारोहा ,B-PERSON
407,3, सीता ,B-PERSON
408,3, मवल ,B-LOCATION
409,3, वायु ,B-PERSON
410,3, में ,B-LOCATION
411,3, कदली ,B-PERSON
412,3, की ,B-PERSON
413,3, तरह ,B-LOCATION
414,3, कांप ,B-PERSON
415,3, उठी ,B-PERSON
416,3, रावण ,B-PERSON
417,3, ने ,B-PERSON
418,3, राक्षसीगणों ,B-PERSON
419,3, से ,B-PERSON
420,3, रक्षा ,B-PERSON
422,3," हुई, ",B-PERSON
424,3, दुःख ,B-PERSON
425,3, से ,B-PERSON
427,3, सीता ,B-PERSON
428,3, को ,B-PERSON
429,3, समुद्र ,B-PERSON
433,3, नौकावत ,B-PERSON
435,3, ।। ,B-PERSON
438,3, खाली ,B-PERSON
443,3, तीक्ष्ण ,B-PERSON
446,3, रावण ,B-PERSON
447,3, के ,B-PERSON
448,3, षध ,B-PERSON
451,3, तीक्ष्ण ,B-PERSON
454,3, ई) ,B-PERSON
459,3, वनस्पति ,B-PERSON
461,3, शाखा ,B-PERSON
464,3, मुझे ,B-PERSON
467,3, हे ,B-PERSON
468,3, हाथी ,B-PERSON
469,3, के ,B-PERSON
470,3, मूह ,B-PERSON
471,3, के ,B-PERSON
472,3, तुल्प ,B-PERSON
473,3, रानों ,B-LOCATION
474,3, वाळी ,B-PERSON
476,3, स्तन ,B-PERSON
477,3, भीर ,B-LOCATION
478,3, उदर ,B-PERSON
512,4, व० ,B-PERSON
513,4, २६) ,B-PERSON
514,4, सीता ,B-PERSON
515,4, का ,B-PERSON
518,4, जम ,B-PERSON
519,4, रौद्र ,B-PERSON
520,4, राक्षस ,B-PERSON
521,4, के ,B-PERSON
522,4, वचन ,B-PERSON
525,4, रोसी ,B-PERSON
526,4, दुई ,B-PERSON
527,4, कांपती ,B-PERSON
529,4, बेचारी ,B-PERSON
530,4, दुखिया ,B-PERSON
531,4, सीता ,B-PERSON
532,4, ।।पनियता ,B-PERSON
533,4, शुद्ध ,B-PERSON
534,4, इंधीवाली ,B-LOCATION
535,4, परारोहा ,B-PERSON
536,4, पति ,B-PERSON
537,4, काही ,B-PERSON
549,4, माक्षाव ,B-PERSON
557,4, देवी ,B-PERSON
558,4, भईमैं ,B-PERSON
559,4, पतिव्रता ,B-PERSON
560,4, महान ,B-PERSON
561,4, कुल ,B-PERSON
565,4, श्रीर ,B-PERSON
566,4, महा ,B-PERSON
567,4, कुल ,B-LOCATION
568,4, को ,B-PERSON
570,4, 'हुई ,B-PERSON
577,4, अनीति ,B-PERSON
580,4, राजा ,B-PERSON
583,4, समृदिशाली ,B-PERSON
585,4, नगर ,B-PERSON
591,4, मैं ,B-PERSON
593,4, धा ,B-PERSON
599,4, मैं ,B-PERSON
600,4, राघव ,B-PERSON
607,4, मूर्प ,B-PERSON
613,4, उस ,B-PERSON
614,4, लोकनाथ ,B-PERSON
616,4, पूजित ,B-PERSON
617,4, भुजा ,B-PERSON
626,4, दूसरे ,B-PERSON
628,4, भुजा ,B-PERSON
633,4, रखुगी ,B-PERSON
638,5, मनुष्यों ,B-PERSON
645,5, जन ,B-PERSON
647,5, दया ,B-PERSON
657,5, वरानने ,B-PERSON
687,5, मैथिलि ,B-PERSON
688,5, तेरा ,B-PERSON
689,5, दारुण ,B-PERSON
690,5, क्ध ,B-PERSON
695,5, काले ,B-PERSON
696,5, कैरे ,B-PERSON
698,5, क्रूर ,B-PERSON
699,5, नेत्र ,B-PERSON
701,5, अन.ये ,B-PERSON
717,5, धर्मात्मा ,B-PERSON
719,5, पत्नी ,B-PERSON
720,5, दश ,B-PERSON
721,5, ध.की ,B-PERSON
722,5, स्तुपा ,B-PERSON
724,5, ऐनी ,B-PERSON
729,5, पापी ,B-PERSON
730,5, सरी ,B-PERSON
732,5, क्यों ,B-PERSON
736,5, धर्मास्मा ,B-PERSON
737,5, राम ,B-PERSON
739,5, आशा ,B-PERSON
742,5, आप ,B-PERSON
747,5, हे ,B-PERSON
748,5, रावण ,B-PERSON
749,5, मैं ,B-PERSON
752,5, (पातिप्रस ,B-PERSON
753,5, के) ,B-PERSON
754,5, तेजस ,B-PERSON
761,5, भस्म ,B-PERSON
765,5, वण ,B-PERSON
767,5, सीना ,B-PERSON
769,5, क्रोध ,B-PERSON
770,5, सीता ,B-PERSON
771,5, के ,B-PERSON
775,5, साक्षसपति ,B-PERSON
776,5, रावण ,B-PERSON
777,5, क्रूर ,B-PERSON
778,5, मेवों ,B-PERSON
781,5, जानकी ,B-PERSON
786,5, शत्रुओं ,B-PERSON
790,5, राजा-रावण ,B-PERSON
791,5, यैथिली ,B-PERSON
792,5, को ,B-PERSON
796,5, भयङ्कर ,B-PERSON
798,5, राक्षसियों ,B-PERSON
814,6, अन्तःपुर ,B-PERSON
822,6, बिलोकी ,B-PERSON
824,6, ऐश्वर्य ,B-PERSON
828,6, रामसेमा ,B-PERSON
829,6, रावण ,B-PERSON
830,6, को ,B-PERSON
831,6, भर्ता ,B-PERSON
832,6, चनाकार ,B-PERSON
833,6, मुख ,B-PERSON
835,6, निहार ,B-PERSON
837,6, दीन ,B-PERSON
839,6, राज्यहीन ,B-PERSON
847,6, गुरु ,B-PERSON
855,6, सूर्य ,B-PERSON
857,6, सुघर्षला ,B-PERSON
858,6, खिया ,B-PERSON
859,6, सुन्दरी ,B-PERSON
860,6," "" ",B-PERSON
861,6, हा ,B-LOCATION
862,6," सम"" ",B-PERSON
863,6, का ,B-PERSON
864,6," लक्ष्मण, ",B-PERSON
865,6, हा ,B-LOCATION
866,6, परी ,B-PERSON
867,6, सास ,B-LOCATION
868,6," कोरपा, ",B-PERSON
869,6, हा ,B-PERSON
870,6," पुमित्रा, ",B-PERSON
871,6, पापार ,B-PERSON
873,6, कहती ,B-PERSON
876,6, विद्वानों ,B-PERSON
877,6, ने ,B-PERSON
883,6, किरिना ,B-PERSON
884,6, काळ ,B-PERSON
885,6, के ,B-PERSON
886,6, स्त्री ,B-PERSON
888,6, पुरुष ,B-PERSON
890,6, प्रत्यु ,B-PERSON
898,6, क्रूर ,B-PERSON
899,6, राक्षसियों ,B-PERSON
904,6, राप ,B-PERSON
906,6, वियुक्त ,B-PERSON
908,6, दुखिपा ,B-PERSON
910,6, मुईत ,B-PERSON
915,6, विज्ञार ,B-PERSON
933,6, फामा ,B-PERSON
934,6, आरक्ता ,B-PERSON
936,6, मैं ,B-PERSON
937,6, राक्षस ,B-PERSON
938,6, रावण ,B-PERSON
953,7, भरत ,B-PERSON
954,7, का ,B-PERSON
956,7, भाई ,B-PERSON
957,7, गम ,B-LOCATION
958,7, मुमो ,B-PERSON
968,7, पृथिवी ,B-PERSON
978,7, शोक ,B-PERSON
980,7, वह ,B-PERSON
981,7, वीर ,B-PERSON
982,7, लक्ष्मण ,B-PERSON
983,7, का ,B-PERSON
984,7, बड़ा ,B-PERSON
985,7, भाई ,B-PERSON
986,7, पृथिवी ,B-PERSON
988,7, देह ,B-PERSON
990,7, याग ,B-PERSON
994,7, देवलोक ,B-PERSON
1003,7, यह ,B-PERSON
1004,7, यशस्विनी ,B-LOCATION
1005,7, राजपुषी ,B-PERSON
1006,7, मानकी ,B-LOCATION
1007,7, परित्राण ,B-PERSON
1031,7, याग ,B-PERSON
1033,7, वह ,B-PERSON
1034,7, सची ,B-LOCATION
1035,7, प्रतिज्ञापाले ,B-PERSON
1036,7, उस ,B-PERSON
1037,7, वृद्ध ,B-PERSON
1038,7, पिता ,B-PERSON
1039,7, के ,B-PERSON
1040,7, वचन ,B-PERSON
1042,7, भार्या ,B-PERSON
1043,7, और ,B-PERSON
1044,7, भाई ,B-PERSON
1045,7, समेत ,B-PERSON
1046,7, वन ,B-PERSON
1051,8, पनुमार ,B-PERSON
1052,8, का ,B-PERSON
1053,8, सीता ,B-PERSON
1054,8, के ,B-PERSON
1058,8, सौता ,B-PERSON
1060,8, सन्देह ,B-PERSON
1061,8, तच ,B-LOCATION
1062,8, यह ,B-PERSON
1063,8, उस ,B-LOCATION
1064,8, वृक्ष ,B-PERSON
1069,8, श्रामणाम ,B-PERSON
1071,8, पवनपुत्र ,B-PERSON
1072,8, हनुमान ,B-PERSON
1073,8, सिर ,B-PERSON
1074,8, पर ,B-LOCATION
1075,8, हाय ,B-PERSON
1077,8, मधुर ,B-PERSON
