,top_topic
0,भवन  राक्षस  हनुमान  सीता  वानर  मा  सुन्दर  रावण  भया  रत
1,सीता  सुन्दर  भया  रावण  सक्ती  भवन  वानर  मान  स्त्री  हनुमान
2,सीता  भवन  राक्षस  रावण  वानर  स्त्री  सुन्दर  मान  मा  भया
3,भवन  सीता  राक्षस  सुन्दर  भया  रावण  वानर  सक्ती  मा  स्त्री
4,भवन  भया  स्त्री  सुन्दर  सीता  मान  मा  सक्ती  वानर  अन्तःपुर
5,हनुमान  युक्त  सब  सीता  रावण  मन  उत्साह  वानर  सुन्दर  सोच
6,रावण  सीता  मन  कह  सब  युक्त  हनुमान  उत्साह  सोच  सुन्दर
7,मन  सीता  हनुमान  युक्त  रावण  सब  कह  सुन्दर  हार  परस्त्री
8,हनुमान  रावण  सब  सीता  युक्त  सुन्दर  उत्साह  मन  हार  कह
9,हनुमान  रावण  वानर  सोच  मन  सुन्दर  कह  सीता  सब  अवकाश
10,राम  सीता  वानर  लोक  नदी  राज्य  जोकि  तीन  शोभा  शुभ
11,राम  सीता  नदी  लोक  वानर  तीन  शोभा  राज्य  प्रीति  शुभ
12,राम  सीता  नदी  वानर  लोक  योग्य  जगह  युक्त  वृक्ष  जोकि
13,राम  सीता  वानर  लोक  जोकि  तीन  प्राप्त  शुभ  राज्य  दुःख
14,राम  लोक  सीता  जोकि  तीन  नदी  वानर  शोभा  शुभ  है।
15,रावण  सीता  भूषण  सुन्दर  राम  चन्द्र  मान  तुल्य  दीन  मौर
16,रावण  सीता  चन्द्र  सुन्दर  दिखला  दुःख  काला  राम  प्यारा  रात
17,रावण  सीता  भूषण  राम  सुन्दर  चन्द्र  मान  निर्मल  शाखा  दीन
18,रावण  सीता  भूषण  मान  सुन्दर  राम  नेत्रोंवाली  भासती  प्यारा  पीड़ित
19,रावण  सीता  भूषण  चन्द्र  भया  काला  नेत्रोंवाली  भासती  बैठ  राम
20,पा  धन  वचन  तुल्य  जान  सीता  योग्य  रूप  रोक  उत्तर
21,छोड  सुन  योग्य  पा  सीता  तुझा  धन  वचन  दुखिया  यम
22,पा  सीता  वचन  योग्य  जान  रूप  सुन  तुझा  छोड  तुल्य
23,जान  पा  तुझा  उत्पन्न  वचन  रूप  योग्य  सुन  छोड़  छोड
24,पा  तुझा  धन  तुल्य  जान  मन  योग्य  सीता  मूर्प  मोह
25,तुझा  रावण  चाह  सीता  कह  राम  क्रोध  वचन  राक्षसी  योग्य
26,सीता  चाह  कह  रावण  राम  वचन  तुझा  योग्य  बोल  पैदेही
27,रावण  सीता  तुझा  चाह  कह  भर  राम  राक्षसी  योग्य  वचन
28,चाह  रावण  राम  तुझा  कह  सीता  योग्य  क्रोध  वचन  राक्षसी
29,सीता  कह  तुझा  राम  चाह  रावण  महीना  युक्त  राक्षसी  वचन
30,सीता  राक्षसी  पा  कह  शोक  हा  जीवन  रावण  पति  पन
31,सीता  राक्षसी  जीवन  पा  शोक  पन  हा  कह  मान  भो
32,सीता  कह  राक्षसी  शोक  पा  शीशम  पीड़ित  दुःख  राम  पकड
33,सीता  पा  राक्षसी  कह  मन  जीवन  शोक  रावण  वचन  राम
34,सीता  शोक  राक्षसी  पा  कह  हा  जीवन  राम  वाक्य  चाह
35,राम  रक्षा  भाई  मार  जान  चल  रावण  सीता  शूरवीर  प्यारा
36,राम  भाई  रक्षा  जान  मार  सीता  रावण  याग  बन्धु  यशस्विनी
37,राम  सीता  जान  मार  रक्षा  भाई  प्यारा  मा  शोक  चल
38,राम  सीता  जान  रक्षा  मार  रावण  भाई  चल  प्यारा  शूरवीर
39,राम  जान  सीता  मार  भाई  रावण  रक्षा  वानर  मा  याग
40,सीता  कह  राम  वचन  हनुमान  देवि  वानर  सुन  भई  शोक
41,सीता  सुन  राम  हनुमान  पवनपुत्र  रावण  कह  वचन  प्रणाम  भई
42,सीता  राम  रावण  सुन  वचन  शोक  हनुमान  कह  भई  समीप
43,सीता  राम  सुन  भई  कह  वचन  हनुमान  कुशल  रावण  वानर
44,सीता  राम  सुन  कह  वचन  पवनपुत्र  प्रणाम  हनुमान  समीप  वानर
45,राम  सीता  वचन  कह  मार  वानर  पति  सुन  हनुमान  रावण
46,राम  मार  वचन  कह  सुन  बोली  सीता  देवि  रावण  पति
47,राम  सीता  वचन  जल्दी  बोली  पराक्रम  चद्द  पति  राक्षस  विभीषण
48,राम  सीता  वचन  सुन  रावण  वानर  कह  मार  बोली  राक्षस
49,राम  वानर  सीता  वचन  सुन  रावण  कह  मार  देवि  देव
50,कार्य  हनुमान  राक्षस  युद्ध  खडा  पास  पवनपुत्र  राम  कह  सोच
51,कार्य  हनुमान  खडा  राक्षस  नेत्र  युद्ध  पास  पवनपुत्र  रावण  सीता
52,कार्य  खडा  हनुमान  सीता  युद्ध  राम  धन  साधन  नष्ट  नेत्र
53,कार्य  हनुमान  युद्ध  खडा  राक्षस  पवनपुत्र  नेत्र  सीता  राम  रावण
54,कार्य  खडा  सीता  पास  पवनपुत्र  राक्षस  युद्ध  राम  नेत्र  रावण
55,राक्षस  हनुमान  रावण  मार  वानर  राक्षसेंद्र  युद्ध  सेना  मर  टूट
56,राक्षस  हनुमान  टूट  मार  राक्षसेंद्र  वानर  रावण  कुमार  भर  सेनापती
57,राक्षस  रावण  हनुमान  मार  वानर  सुन  भर  राक्षसेंद्र  उठा  महात्मा
58,राक्षस  रावण  मार  हनुमान  वानर  गिर  भया  भर  उठा  कुमार
59,राक्षस  मार  हनुमान  वानर  सेना  रावण  टूट  गिर  राक्षसेंद्र  मर
60,अहो  हनुमान  युक्त  दूत  आग  पूंछ  कह  भाग  महात्मा  वध
61,वानर  पूंछ  हनुमान  रावण  जान  कह  वध  युक्त  दूत  अहो
62,हनुमान  वानर  वध  अहो  पूंछ  दूत  राक्षस  आग  जान  युक्त
63,वानर  अहो  जान  कह  पूंछ  हनुमान  राक्षस  आग  रावण  दूत
64,हनुमान  पूंछ  वध  अहो  आग  दूत  कह  वानर  रावण  युक्त
65,वानर  राक्षस  मार  हनुमान  चोटी  सब  वानरश्रेष्ठ  तुल्य  बह  बडा
66,मार  ध्वनि  राक्षस  सब  तुल्य  महातेजस्वी  अग्नि  वानर  बह  हनुमान
67,राक्षस  वानर  हनुमान  मार  बह  सब  बडा  ध्वनि  चोटी  महात्मा
68,मार  राक्षस  वानर  अग्नि  सब  वीर  चार  चोटी  तुल्य  हनुमान
69,मार  वानर  हनुमान  सब  अग्नि  चोटी  राक्षस  ध्वनि  बह  बडा
70,कह  सीता  राम  सब  रावण  हनुमान  वानर  सुग्रीव  दर्शन  महीना
71,सीता  सब  दर्शन  सुग्रीव  रावण  राम  कह  महीना  मनोरथ  मया
72,कह  सीता  राम  सुग्रीव  रावण  महीना  सब  दर्शन  हनुमान  अङ्गद
73,सीता  राम  कह  रावण  सब  दर्शन  वानर  सुग्रीव  महीना  हनुमान
74,राम  सीता  कह  रावण  सब  दर्शन  सौ  सुग्रीव  हनुमान  जीत
75,समुद्र  तु  सीता  हनुमान  पार  मन  राम  क्षण  कार्य  वाक्य
76,मन  बडा  समुद्र  सीता  तु  हनुमान  पार  यदन्येन  यमा  रघुसत्तमः
77,तु  पार  हनुमान  समुद्र  बोल  सीता  राम  गला  बडा  क्षण
78,समुद्र  पार  राम  सीता  हनुमान  तु  मन  सुन  मम  बोल
79,पार  यदिहास्य  यथावद  युक्त  यम  राक्षसरामस्य  यदन्येन  मुग्रीव  यथा  राक्षसी
80,शोक  रामो  एव  दिशम्  सब  ततः  श्रुत्वा  सागर  दक्षिणां  समुद्र
81,रामो  समुद्र  शोक  श्रुत्वा  दक्षिणां  प्रवेश  सागर  राघवस्य  वानरैतुभिः  जम्मु
82,शोक  दिशम्  सागर  स्म  नः  दक्षिणां  एव  रणगकर  श्रुत्वा  रामायण
83,शोक  दक्षिणां  सागर  ततः  नः  श्रुत्वा  दिशम्  प्रचण्ड  पूजितः  पूर्षमुपस्थिता
84,शोक  सब  श्रुत्वा  नः  ततः  समुद्र  स्म  सागर  दिशम्  दक्षिणां
85,राम  समुद्र  भर  सागर  सुग्रीव  सेना  आकाश  वचन  चढ़ाई  लक्ष्मण
86,राम  समुद्र  भर  सागर  सेना  सुग्रीव  आकाश  लक्ष्मण  सुन  पहुंच
87,राम  समुद्र  सुग्रीव  सागर  सेना  भर  वानर  चल  चढ़ाई  पहुंच
88,समुद्र  राम  सागर  आकाश  सुग्रीव  भर  सेना  चढ़ाई  लक्ष्मण  पहुंच
89,समुद्र  राम  भर  सागर  सेना  आकाश  लक्ष्मण  वानर  वृक्ष  चढ़ाई
90,रावण  विभीषण  सीता  वचन  राम  मार  समझ  युद्ध  कह  सेना
91,रावण  विभीषण  सीता  युक्त  मन्त्री  मार  विसर्जन  वचन  कह  हित
92,रावण  सीता  विभीषण  वचन  कह  मार  सेना  मन्त्री  सब  हित
93,रावण  सीता  कह  वचन  राम  मन्त्री  विभीषण  सब  युद्ध  सेना
94,सीता  वचन  विभीषण  मार  सब  रावण  राम  कह  महावली  कामना
95,सभा  बोल  रावण  काम  विचार  जान  सेना  आरम्भ  सब  पीछे
96,रावण  सोच  योग्य  विचार  सेना  सभा  बोल  काम  मुनहरी  महावल
97,सोच  बोल  रावण  जान  सेना  आरम्भ  सभा  पीछे  काम  वचन
98,रावण  बोल  काम  सभा  सेना  पीछे  विचार  सब  तुल्य  आरम्भ
99,रावण  सभा  काम  बोल  आरम्भ  जान  सोच  सब  पीछे  तुल्य
100,विभीषण  सुन  बोल  राम  कह  वाक्य  शत्रु  बडा  सीता  तुल्य
101,राम  विभीषण  बोल  कह  सुन  वाक्य  शत्रु  हित  बडा  सीता
102,बोल  कह  राम  विभीषण  सुन  वाक्य  सीता  तुल्य  हित  बडा
103,कह  विभीषण  बोल  वाक्य  बडा  शत्रु  राम  सीता  सुन  तुल्य
104,सुन  राम  वाक्य  बोल  विभीषण  शत्रु  कह  राजा  वचन  सीता
105,कह  वाक्य  विभीषण  कठोर  राक्षस  रावण  भाई  छोटा  वचन  मया
106,कह  हि  राक्षस  भाई  विभीषण  वाक्य  कठोर  वचन  रावण  यच्चोकं
107,कह  वाक्य  रावण  कठोर  वचन  राक्षस  भाई  विभीषण  हि  भय
108,कह  भाई  वाक्य  रावण  राक्षस  हि  विभीषण  वचन  राजन्  ज्ञाति
109,कह  वाक्य  विभीषण  रावण  भाई  राक्षस  हि  कठोर  वचन  मया
110,वाक्य  सुन  राम  सीता  तु  शृणु  बोल  सुग्रीव  भाई  विभीषण
111,वाक्य  रावण  सुन  राम  भाई  कह  बोल  वा  विभीषण  शृणु
112,वाक्य  बोल  विभीषण  भाई  सुन  राम  दीन  रावण  कह  सीता
113,वाक्य  भाई  विभीषण  बोल  राम  वा  सुन  शृणु  जल्दी  त्याग
114,राम  वाक्य  सुन  विभीषण  बोल  भाई  वा  जल्दी  शृणु  शरण
115,सब  कह  सुन  राम  विभीषण  राक्षस  छोटा  दोष  रावण  शुद्ध
116,कह  सब  राम  विभीषण  राक्षस  वचन  पी  नेत्र  धानरश्रेष्ठ  दोष
117,सब  राम  कह  वचन  विभीषण  सुन  शत्रु  रावण  भाई  शुद्ध
118,कह  सब  राम  विभीषण  सुन  वचन  रावण  राक्षस  शुद्ध  भाई
119,सब  कह  राम  विभीषण  वचन  सुन  राक्षस  शुद्ध  शरणागत  शत्रु
120,राम  रावण  समुद्र  पर्वत  सेतु  सेना  लक्ष्मण  बडा  वानर  युद्ध
121,राम  विभीषण  भये  जीत  समेत  कह  समुद्र  सब  देवता  योजन
122,राम  समुद्र  पर्वत  सेना  रावण  सेतु  वानर  विभीषण  लक्ष्मण  सुन
123,राम  समुद्र  रावण  सेना  सेतु  वानर  पर्वत  युद्ध  सुन  बडा
124,राम  समुद्र  वानर  सेना  सेतु  लक्ष्मण  रावण  सब  पर्वत  मूल
125,सेना  सारण  कह  वानर  राक्षस  राम  गुप्तचर  सब  विभीषण  रावण
126,सेना  सारण  कह  वानर  गुप्तचर  बोल  शुक  बांध  राम  रघुनन्दन
127,सेना  सारण  कह  राम  राक्षस  वानर  दिखला  विभीषण  रावण  लक्ष्मण
128,सेना  कह  सारण  राम  वानर  राक्षस  गुप्तचर  शुक  बोल  वचन
129,सेना  सारण  कह  राम  वानर  राक्षस  गुप्तचर  बोल  शुक  विभीषण
